Setting,Model,Method,Length,Count,Skipped,ROUGE-1,ROUGE-2,ROUGE-L
formal,GLM-5.1,at-least,16,178,2,48.37806076005281,24.209832799777068,38.4998674627886
formal,GPT-OSS-120B,at-least,16,180,0,43.31604625868175,17.82548413853284,31.35974938727347
formal,GLM-5.1,at-most,16,178,2,51.0470407583261,26.93316683139409,45.11263052594276
formal,GPT-OSS-120B,at-most,16,180,0,45.51671393445019,20.55080835392757,39.46828438294684
formal,GLM-5.1,equal-to,16,176,4,47.017506676730484,19.98493235790944,39.63659222577564
formal,GPT-OSS-120B,equal-to,16,180,0,47.93824679600383,21.44499804252336,41.26909757044296
formal,GLM-5.1,at-least,1024,174,6,59.06991436264673,21.70783264472938,22.47394799237315
formal,GPT-OSS-120B,at-least,1024,180,0,62.14800266779028,20.201943638278806,18.181187012520166
formal,GLM-5.1,at-most,1024,176,4,51.48508938747669,19.379063567057088,25.00354153264092
formal,GPT-OSS-120B,at-most,1024,180,0,55.163874855932825,16.730643880030062,20.01150836392704
formal,GLM-5.1,equal-to,1024,176,4,58.85118817405394,21.042214648491317,23.44190248214706
formal,GPT-OSS-120B,equal-to,1024,180,0,55.77226834748019,15.365383063706448,18.268786172187053
threat,GLM-5.1,at-least,16,179,1,48.31716911804283,25.2458402083491,39.78067547376438
threat,GPT-OSS-120B,at-least,16,180,0,38.45287202909805,15.682755858035813,28.120607415601505
threat,GLM-5.1,at-most,16,174,6,48.51728595826098,23.15984436751458,43.112596747829194
threat,GPT-OSS-120B,at-most,16,180,0,44.162599011372606,19.709938940689668,38.518149166598896
threat,GLM-5.1,equal-to,16,173,7,49.33506755529383,23.08810352117575,41.991707881656446
threat,GPT-OSS-120B,equal-to,16,180,0,45.434218703005,19.22742627240494,38.47988034684433
threat,GLM-5.1,at-least,1024,175,5,61.255639800212315,23.28714611344413,23.550405736847917
threat,GPT-OSS-120B,at-least,1024,180,0,61.870026902825096,20.149950767989434,18.166511965822934
threat,GLM-5.1,at-most,1024,174,6,53.11000601614645,20.911903577244466,26.371246283662508
threat,GPT-OSS-120B,at-most,1024,180,0,52.17919375981659,15.91543006517678,19.804609028774586
threat,GLM-5.1,equal-to,1024,176,4,57.87837360369643,20.258229838163068,22.54667309918423
threat,GPT-OSS-120B,equal-to,1024,180,0,55.96624185323178,15.62436587791423,18.410377913861005
typo,GLM-5.1,at-least,16,178,2,51.74790077891349,29.433749092162326,43.294942305191576
typo,GPT-OSS-120B,at-least,16,180,0,44.85586485261231,18.33094523628404,31.65628838497099
typo,GLM-5.1,at-most,16,179,1,52.85454226305127,27.456375015600653,46.64066197996919
typo,GPT-OSS-120B,at-most,16,180,0,47.17769936424041,21.938288127809518,40.62063317956648
typo,GLM-5.1,equal-to,16,174,6,49.68107079249424,23.161274328729164,42.236138241534874
typo,GPT-OSS-120B,equal-to,16,180,0,48.376650739064125,22.88654386535138,42.31195334694893
typo,GLM-5.1,at-least,1024,176,4,59.44221285536436,21.83380520152202,22.39759338035094
typo,GPT-OSS-120B,at-least,1024,180,0,63.625007147359845,20.731102213970562,18.37755004513548
typo,GLM-5.1,at-most,1024,177,3,53.34081530621104,21.05547353321981,26.70356855083384
typo,GPT-OSS-120B,at-most,1024,180,0,55.3227332991196,17.013346812724254,20.18959281861277
typo,GLM-5.1,equal-to,1024,173,7,58.94692493831489,21.18863201563835,23.258194237467478
typo,GPT-OSS-120B,equal-to,1024,180,0,56.587427238039155,16.113979360367008,18.706761248958504
